field,date,product,volume,unit
SNORRE,2006-06-01,Gas,0.14378,bill_sm3
SNORRE,2006-07-01,Gas,0.15764,bill_sm3
SNORRE,2006-08-01,Gas,0.15913,bill_sm3
SNORRE,2006-09-01,Gas,0.14276,bill_sm3
SNORRE,2006-10-01,Gas,0.09101,bill_sm3
SNORRE,2006-11-01,Gas,0.13975,bill_sm3
SNORRE,2006-12-01,Gas,0.14304,bill_sm3
SNORRE,2007-01-01,Gas,0.13927,bill_sm3
SNORRE,2007-02-01,Gas,0.13989,bill_sm3
SNORRE,2007-03-01,Gas,0.15628,bill_sm3
SNORRE,2007-04-01,Gas,0.14516,bill_sm3
SNORRE,2007-05-01,Gas,0.13672,bill_sm3
SNORRE,2007-06-01,Gas,0.13347,bill_sm3
SNORRE,2007-07-01,Gas,0.14583,bill_sm3
SNORRE,2007-08-01,Gas,0.07388,bill_sm3
SNORRE,2007-09-01,Gas,0.15484,bill_sm3
SNORRE,2007-10-01,Gas,0.1505,bill_sm3
SNORRE,2007-11-01,Gas,0.16104,bill_sm3
SNORRE,2007-12-01,Gas,0.17025,bill_sm3
SNORRE,2008-01-01,Gas,0.19016,bill_sm3
SNORRE,2008-02-01,Gas,0.16554,bill_sm3
SNORRE,2008-03-01,Gas,0.16357,bill_sm3
SNORRE,2008-04-01,Gas,0.10746,bill_sm3
SNORRE,2008-05-01,Gas,0.15349,bill_sm3
SNORRE,2008-06-01,Gas,0.18624,bill_sm3
SNORRE,2008-07-01,Gas,0.19336,bill_sm3
SNORRE,2008-08-01,Gas,0.1246,bill_sm3
SNORRE,2008-09-01,Gas,0.09757,bill_sm3
SNORRE,2008-10-01,Gas,0.17079,bill_sm3
SNORRE,2008-11-01,Gas,0.13161,bill_sm3
SNORRE,2008-12-01,Gas,0.15415,bill_sm3
SNORRE,2009-01-01,Gas,0.15377,bill_sm3
SNORRE,2009-02-01,Gas,0.12646,bill_sm3
SNORRE,2009-03-01,Gas,0.14191,bill_sm3
SNORRE,2009-04-01,Gas,0.11895,bill_sm3
