field,date,product,volume,unit
STATFJORD ØST,2021-05-01,Oil,0.01509,mill_sm3
STATFJORD ØST,2021-06-01,Oil,0.01559,mill_sm3
STATFJORD ØST,2021-07-01,Oil,0.01561,mill_sm3
STATFJORD ØST,2021-08-01,Oil,0.01713,mill_sm3
STATFJORD ØST,2021-09-01,Oil,0.0137,mill_sm3
STATFJORD ØST,2021-10-01,Oil,0.01618,mill_sm3
STATFJORD ØST,2021-11-01,Oil,0.01458,mill_sm3
STATFJORD ØST,2021-12-01,Oil,0.01957,mill_sm3
STATFJORD ØST,2022-01-01,Oil,0.0165,mill_sm3
STATFJORD ØST,2022-02-01,Oil,0.01247,mill_sm3
STATFJORD ØST,2022-03-01,Oil,0.01738,mill_sm3
STATFJORD ØST,2022-04-01,Oil,0.01433,mill_sm3
STATFJORD ØST,2022-05-01,Oil,0.01421,mill_sm3
STATFJORD ØST,2022-06-01,Oil,0.01389,mill_sm3
STATFJORD ØST,2022-07-01,Oil,0.0177,mill_sm3
STATFJORD ØST,2022-08-01,Oil,0.01603,mill_sm3
STATFJORD ØST,2022-09-01,Oil,0.01372,mill_sm3
STATFJORD ØST,2022-10-01,Oil,0.01402,mill_sm3
STATFJORD ØST,2022-11-01,Oil,0.0165,mill_sm3
STATFJORD ØST,2022-12-01,Oil,0.01704,mill_sm3
STATFJORD ØST,2023-01-01,Oil,0.01414,mill_sm3
STATFJORD ØST,2023-02-01,Oil,0.01163,mill_sm3
STATFJORD ØST,2023-03-01,Oil,0.01334,mill_sm3
STATFJORD ØST,2023-04-01,Oil,0.01235,mill_sm3
STATFJORD ØST,2023-05-01,Oil,5e-05,mill_sm3
STATFJORD ØST,2023-06-01,Oil,0.00294,mill_sm3
STATFJORD ØST,2023-07-01,Oil,0.00972,mill_sm3
STATFJORD ØST,2023-08-01,Oil,0.00919,mill_sm3
STATFJORD ØST,2023-09-01,Oil,0.0114,mill_sm3
STATFJORD ØST,2023-10-01,Oil,0.01238,mill_sm3
